target_name,mean,median,std,count
annual crop land,14.643139523679077,15.827610435472934,14.202744793971352,300
forest,24.00371503442926,26.816085936357695,11.772498538188351,300
herbaceous vegetation,17.798106937187402,17.626291207835493,15.481877300047936,300
highway or road,12.747019162329932,13.031946485073604,16.028797633439506,250
industrial area,31.198855960220246,30.869135025876176,17.524593392017337,250
pasture,9.283583175020292,8.60617709190592,10.84799616575384,200
permanent crop land,12.126018798527143,13.00523709272511,13.58917807942508,250
residential area,33.491747170305146,35.836314381415605,19.47601663814511,300
river,12.172244228089534,12.074450045748563,11.522678844660634,250
sea or lake,30.790450304368594,40.48554434724974,23.616113173197476,300
