target_name,top1_accuracy,top5_inclusion,recoverability_gap
residential area,0.9633333333333334,0.9866666666666667,0.023333333333333317
industrial area,0.968,0.996,0.028000000000000025
forest,0.9466666666666667,1.0,0.053333333333333344
herbaceous vegetation,0.8633333333333333,0.9866666666666667,0.1233333333333334
annual crop land,0.86,0.9966666666666667,0.13666666666666671
river,0.86,1.0,0.14
sea or lake,0.8433333333333334,0.9866666666666667,0.1433333333333333
pasture,0.835,1.0,0.16500000000000004
permanent crop land,0.824,1.0,0.17600000000000005
highway or road,0.76,0.988,0.22799999999999998
