target_name,top1_accuracy,top5_inclusion,recoverability_gap
residential area,0.9733333333333334,0.9933333333333333,0.019999999999999907
forest,0.98,1.0,0.020000000000000018
industrial area,0.98,1.0,0.020000000000000018
pasture,0.91,1.0,0.08999999999999997
annual crop land,0.8933333333333333,0.9933333333333333,0.09999999999999998
river,0.896,1.0,0.10399999999999998
highway or road,0.888,1.0,0.11199999999999999
sea or lake,0.8466666666666667,0.9766666666666667,0.13
permanent crop land,0.828,1.0,0.17200000000000004
herbaceous vegetation,0.7533333333333333,0.9666666666666667,0.21333333333333337
