rank,eigenvalue
1,0.018705198052642445
2,0.006376165859851214
3,0.0044877422656836845
4,0.003414349550619821
5,0.0028497106288766674
6,0.0024086309997936924
7,0.002399511470927306
8,0.0021126932055694093
9,0.0017736410740502443
10,0.0015313250529327648
11,0.0014742579192846459
12,0.0012931102659935053
13,0.001243807229613786
14,0.0011749308225995716
15,0.0010501706101402376
16,0.0010156553792463284
17,0.0009250146073519554
18,0.0008435999790193269
19,0.0008282040162733299
20,0.0007515890560820302
21,0.000738370178770086
22,0.0006532579460871671
23,0.0006278657901303167
24,0.000600806510503329
25,0.0005576311882039181
26,0.0005208192991071398
27,0.0005126087936527012
28,0.0004961219633071091
29,0.0004751509791565067
30,0.0004663870398064699
31,0.0004502909804842388
32,0.00042238639756912
33,0.00040774222243944366
34,0.0003966803477403713
35,0.00038457842004551655
36,0.0003582891058294805
37,0.00035017051043788967
38,0.0003450731660043141
39,0.00032808860349112804
40,0.00031818835743413737
41,0.0003119967422150812
42,0.0003011533528991706
43,0.00029252548544210245
44,0.00028481939042015374
45,0.000277027440632112
46,0.00027086733130675194
47,0.0002658113527054086
48,0.00025490452028539763
49,0.0002434213775343299
50,0.00024179260398455758
51,0.00023815681152211652
52,0.00022934496081864237
53,0.0002278171307715402
54,0.00021558818626610016
55,0.00021274608298423622
56,0.00020868732438535868
57,0.00020087097028050356
58,0.00019554700641537885
59,0.0001896343082967206
60,0.0001857457077955329
61,0.0001847397225204384
62,0.0001827344691999983
63,0.00017661987909476805
64,0.00017628823263603083
65,0.0001727916751959955
66,0.0001714658650530049
67,0.00016840125282116056
68,0.00016392100601904491
69,0.00016204200926410299
70,0.0001580764102554629
71,0.00015687548223777484
72,0.00015295505650992218
73,0.00015240000677650592
74,0.00014495784255620013
75,0.00014343970346274507
76,0.0001393105137364839
77,0.00013765317101479058
78,0.0001350878736097109
79,0.00013387431929015004
80,0.00013333120061454702
81,0.0001289305846783192
82,0.0001273971067921421
83,0.00012559234844196647
84,0.00012343262613976824
85,0.00012051196074304816
86,0.0001192075040485293
87,0.00011613579203710615
88,0.00011476773424459199
89,0.00011296331830215853
90,0.00011040625278366806
91,0.00010848587751136915
92,0.0001079777401409729
93,0.00010717358210592993
94,0.00010563987791603134
95,0.00010560269187167747
96,0.00010156116422469195
97,0.000100009319403641
98,9.762496797144139e-05
99,9.563348271119961e-05
100,9.36296423466524e-05
101,9.31193113315889e-05
102,9.063518705290426e-05
103,9.009532273615017e-05
104,8.864009156704135e-05
105,8.672625882719536e-05
106,8.644016857331978e-05
107,8.577807769850925e-05
108,8.461932149015137e-05
109,8.316848819764647e-05
110,8.236285167317297e-05
111,8.197903296295387e-05
112,8.09194887171643e-05
113,8.075702202678307e-05
114,7.944438947760218e-05
115,7.773165842077102e-05
116,7.677863439238501e-05
117,7.615495361089621e-05
118,7.387350061667033e-05
119,7.324028368109027e-05
120,7.3066184400145e-05
121,7.217785980839202e-05
122,7.106292235242209e-05
123,6.95974258404924e-05
124,6.910984069365245e-05
125,6.88123938816656e-05
126,6.769350955630525e-05
127,6.735724358732934e-05
128,6.689052796003911e-05
129,6.449896515899349e-05
130,6.37378751633099e-05
131,6.327190611275994e-05
132,6.297532835065938e-05
133,6.181320042495404e-05
134,6.146832030083395e-05
135,6.122972418749795e-05
136,5.9914441589172587e-05
137,5.89517753278244e-05
138,5.8625725750971034e-05
139,5.8055594853831536e-05
140,5.709435724257033e-05
141,5.644222418916132e-05
142,5.574330754693247e-05
143,5.5489930671759985e-05
144,5.495692268734406e-05
145,5.438799066971066e-05
146,5.3392364283469776e-05
147,5.2826328384257705e-05
148,5.1911477038376145e-05
149,5.169563800035941e-05
150,5.071816217049717e-05
151,5.050190840143933e-05
152,5.018129559057197e-05
153,4.9754652873580046e-05
154,4.959914502711265e-05
155,4.895456914845259e-05
156,4.823354073670851e-05
157,4.76355959978613e-05
158,4.7297012168644643e-05
159,4.6688460003146764e-05
160,4.6293560288254396e-05
161,4.5751521283443524e-05
162,4.53688615320908e-05
163,4.502912157677388e-05
164,4.450251583378574e-05
165,4.412538756062966e-05
166,4.353471860807901e-05
167,4.337080104900718e-05
168,4.263418473694647e-05
169,4.1801638043620476e-05
170,4.159337491892005e-05
171,4.1387299083263766e-05
172,4.12251999899385e-05
173,4.108381485849224e-05
174,4.0318263540422344e-05
175,3.948718741675994e-05
176,3.9088637655482286e-05
177,3.895228664773513e-05
178,3.860683470280336e-05
179,3.844995891749324e-05
180,3.816980801383136e-05
181,3.792642948437002e-05
182,3.752414860201135e-05
183,3.699155189313444e-05
184,3.655391037093822e-05
185,3.624556517596468e-05
186,3.597662723867324e-05
187,3.5770110284707905e-05
188,3.537159213356061e-05
189,3.5156246854375645e-05
190,3.4725762042995726e-05
191,3.415650254893965e-05
192,3.387450811164882e-05
193,3.377925794000545e-05
194,3.35426720461527e-05
195,3.283844380568714e-05
196,3.27370840610446e-05
197,3.25111371424916e-05
198,3.208291922196503e-05
199,3.1995772518233405e-05
200,3.170384452935461e-05
201,3.1326339774520176e-05
202,3.092664079999397e-05
203,3.081580644455722e-05
204,3.0474317226813303e-05
205,3.0170152236817066e-05
206,2.9963871967575575e-05
207,2.9541482007319858e-05
208,2.941919856609652e-05
209,2.8838918554315103e-05
210,2.879822293485452e-05
211,2.852054806473097e-05
212,2.817688868585334e-05
213,2.8151087683226143e-05
214,2.7993340490507145e-05
215,2.7574951100964517e-05
216,2.734843567228755e-05
217,2.724817998949722e-05
218,2.7014655078709735e-05
219,2.673326531977042e-05
220,2.6602228199344424e-05
221,2.6389354489744725e-05
222,2.5998746462067143e-05
223,2.5809386945811706e-05
224,2.5733026247330792e-05
225,2.5288382573643137e-05
226,2.5116797249185826e-05
227,2.4900421912302037e-05
228,2.4716271898826223e-05
229,2.452536191837821e-05
230,2.4077907926711522e-05
231,2.394030711902827e-05
232,2.3676669871224396e-05
233,2.3419441594064196e-05
234,2.3155022908081564e-05
235,2.304974254599134e-05
236,2.2896326071556894e-05
237,2.2547328293262105e-05
238,2.245113633651404e-05
239,2.2297238246805155e-05
240,2.2063558775021735e-05
241,2.1781416110092848e-05
242,2.1775099920831636e-05
243,2.161762126910887e-05
244,2.1500483619254423e-05
245,2.1343166555100375e-05
246,2.1076405712768295e-05
247,2.0910901415851092e-05
248,2.069509294880991e-05
249,2.0550328715693576e-05
250,2.0283554167942264e-05
251,2.0160543950354733e-05
252,1.9945949575123153e-05
253,1.9792750794303443e-05
254,1.9566994682519143e-05
255,1.9429401949317817e-05
256,1.9277702422758585e-05
257,1.9016073313926228e-05
258,1.875879893406023e-05
259,1.8598039196938498e-05
260,1.8575858766308933e-05
261,1.8340971307284393e-05
262,1.828252311251541e-05
263,1.819037388803019e-05
264,1.8004447876760824e-05
265,1.787161166297371e-05
266,1.7728893491119437e-05
267,1.7456676070493158e-05
268,1.7422277430741825e-05
269,1.7234860892232943e-05
270,1.6964802896363227e-05
271,1.669696062232216e-05
272,1.6605562903745583e-05
273,1.6548912904396637e-05
274,1.645442764449062e-05
275,1.6341230823819044e-05
276,1.6258482832835775e-05
277,1.605417688809377e-05
278,1.5996254048761375e-05
279,1.5881018279572184e-05
280,1.573575509378743e-05
281,1.55624006588973e-05
282,1.5438498549822933e-05
283,1.5307633755166155e-05
284,1.5217972151116437e-05
285,1.5141466584020697e-05
286,1.4912007857690495e-05
287,1.4793982702366932e-05
288,1.4593629814340313e-05
289,1.4438745657967971e-05
290,1.4354385331246298e-05
291,1.4114930160702568e-05
292,1.394834996670411e-05
293,1.3847961300809179e-05
294,1.367998839054736e-05
295,1.3641395381988052e-05
296,1.3524101981943269e-05
297,1.3433359119404685e-05
298,1.3278125959511288e-05
299,1.3104723757906858e-05
300,1.3044349905343041e-05
301,1.2972231209171824e-05
302,1.2908522849115525e-05
303,1.2811551923466131e-05
304,1.2600715518538118e-05
305,1.2565051083749328e-05
306,1.2387208149879747e-05
307,1.231056362907099e-05
308,1.2281350197307754e-05
309,1.2175488785018881e-05
310,1.213957637822798e-05
311,1.1954472388000242e-05
312,1.1806367705761125e-05
313,1.1683269471147664e-05
314,1.1573661408620978e-05
315,1.1449834043030795e-05
316,1.1366666059149208e-05
317,1.1283958329088005e-05
318,1.1205055163113681e-05
319,1.1145122035211064e-05
320,1.1015777114856742e-05
321,1.0906364774362507e-05
322,1.0770295735469713e-05
323,1.0717039678120165e-05
324,1.0537267821726665e-05
325,1.04429092830476e-05
326,1.0346538209205533e-05
327,1.0276002417822696e-05
328,1.009524515917298e-05
329,1.0015463293024736e-05
330,1.0001203297758525e-05
331,9.920888141264208e-06
332,9.862873644466527e-06
333,9.742406754680538e-06
334,9.695581040066424e-06
335,9.638150307176981e-06
336,9.432484008227127e-06
337,9.356067267606412e-06
338,9.329766091017844e-06
339,9.208004814786291e-06
340,9.177053267778767e-06
341,9.052227394302988e-06
342,8.992110371663772e-06
343,8.941100607430244e-06
344,8.851540580362079e-06
345,8.813494672776611e-06
346,8.686867882460723e-06
347,8.64232357685323e-06
348,8.59756707233476e-06
349,8.501903900928277e-06
350,8.395196908852527e-06
351,8.379691858797295e-06
352,8.310929921958087e-06
353,8.073746582378185e-06
354,8.019663727015405e-06
355,7.983695328757679e-06
356,7.901781992273632e-06
357,7.816305475445548e-06
358,7.720578666409571e-06
359,7.634869557394062e-06
360,7.5480172333427635e-06
361,7.451623446420975e-06
362,7.408397375490498e-06
363,7.355208775646793e-06
364,7.308343618624868e-06
365,7.182309985929783e-06
366,7.102424738787459e-06
367,7.042597493372625e-06
368,6.9513376140155635e-06
369,6.860942703856292e-06
370,6.765565565648122e-06
371,6.746634808002022e-06
372,6.7114053909632375e-06
373,6.666174651955837e-06
374,6.50682100721275e-06
375,6.413190040130098e-06
376,6.3549517425218085e-06
377,6.285383853902602e-06
378,6.2226954316225554e-06
379,6.190181800722593e-06
380,6.157884013656851e-06
381,6.0367387720152735e-06
382,5.987368919685274e-06
383,5.952967909363571e-06
384,5.873219166187858e-06
385,5.853451143220881e-06
386,5.8113649047729994e-06
387,5.7385415257358895e-06
388,5.716270001507479e-06
389,5.666838106924635e-06
390,5.604804061630977e-06
391,5.522936771719906e-06
392,5.447434752316333e-06
393,5.403578675419548e-06
394,5.255873274855067e-06
395,5.219739363499716e-06
396,5.165325605308598e-06
397,5.073319676549514e-06
398,5.06159352872485e-06
399,5.010929943787279e-06
400,4.926285163481465e-06
401,4.902042698666934e-06
402,4.809065039900044e-06
403,4.747258855067352e-06
404,4.688620773128187e-06
405,4.659182648295555e-06
406,4.574165143302138e-06
407,4.53243608614383e-06
408,4.4867091391895016e-06
409,4.3675522785664315e-06
410,4.309003837831219e-06
411,4.283678349537605e-06
412,4.203870403506996e-06
413,4.15144845023809e-06
414,4.109150089809745e-06
415,4.092083675427621e-06
416,4.0112148177140256e-06
417,3.935116008709223e-06
418,3.870736260847007e-06
419,3.80718524479882e-06
420,3.7779986360259334e-06
421,3.7456360176093486e-06
422,3.6964553024135816e-06
