target_name,mean,median,std,count
annual crop land,-419.89332181291434,-459.74280973668647,896.2635784979857,300
forest,309.20052241609164,456.2821569174703,642.0440656216033,300
herbaceous vegetation,499.8401739834933,654.7258721791422,679.8167427656068,300
highway or road,349.83768428383667,364.24928544952127,1203.4641540824462,250
industrial area,942.6660767122087,1109.1998304659555,1477.3151828309574,250
pasture,-393.272402048513,-112.2447617996313,1584.6212695765248,200
permanent crop land,-205.0729092678403,-164.41680098277357,837.9769217981724,250
residential area,303.28072123040124,399.35168461876856,729.2603976886406,300
river,-989.2716162918113,-933.3800257893272,799.7759245369356,250
sea or lake,320.9530103739863,503.3897600192395,698.9636033957125,300
