,annual crop land,forest,herbaceous vegetation,highway or road,industrial area,pasture,permanent crop land,residential area,river,sea or lake
annual crop land,0.999999999999999,0.9685592832552368,0.9778628668880637,0.9348777610443189,0.9043723850464422,0.9558473363420542,0.9535966753989398,0.9310106512024587,0.9674531236000591,0.9400150588176643
forest,0.9685592832552368,1.0000000000000004,0.9665613402063169,0.8995654169168975,0.8607055253721668,0.9307212485387936,0.911580556777595,0.9021806902607146,0.9440195232485987,0.9804608807369319
herbaceous vegetation,0.9778628668880637,0.9665613402063169,1.0000000000000004,0.9310909399660615,0.9030677025633866,0.9493263898127224,0.9554046834313097,0.9410271532597885,0.9605098505207368,0.9360925959329923
highway or road,0.9348777610443189,0.8995654169168975,0.9310909399660615,1.0000000000000004,0.9643693748731239,0.9766870044309626,0.9748115240036503,0.9597862619394597,0.9787464924349316,0.8686062419143131
industrial area,0.9043723850464422,0.8607055253721668,0.9030677025633866,0.9643693748731239,1.0000000000000004,0.9486296060321009,0.9648478395060256,0.9781708647317876,0.9512722438711556,0.8392174025045283
pasture,0.9558473363420542,0.9307212485387936,0.9493263898127224,0.9766870044309626,0.9486296060321009,1.0000000000000002,0.9805404136609441,0.9520711212360546,0.9821095444495731,0.8933085917607502
permanent crop land,0.9535966753989398,0.911580556777595,0.9554046834313097,0.9748115240036503,0.9648478395060256,0.9805404136609441,1.0,0.9693236474469564,0.9732191673857454,0.8775796415953404
residential area,0.9310106512024587,0.9021806902607146,0.9410271532597885,0.9597862619394597,0.9781708647317876,0.9520711212360546,0.9693236474469564,1.0000000000000002,0.9598019601981772,0.8829360873880885
river,0.9674531236000591,0.9440195232485987,0.9605098505207368,0.9787464924349316,0.9512722438711556,0.9821095444495731,0.9732191673857454,0.9598019601981772,1.0000000000000002,0.9144972347411926
sea or lake,0.9400150588176643,0.9804608807369319,0.9360925959329923,0.8686062419143131,0.8392174025045283,0.8933085917607502,0.8775796415953404,0.8829360873880885,0.9144972347411926,1.0000000000000002
