target_name,mean,median,std,count
annual crop land,-0.20283505324478038,-0.19037912552166958,0.2880493215967965,300
forest,0.1960637187928497,0.23177288746112046,0.3003362517184743,300
herbaceous vegetation,0.1632936973692894,0.20682218902512683,0.3777795694882472,300
highway or road,-0.24094593780116721,-0.2337440202437049,0.312597615803045,250
industrial area,0.34138255145143015,0.42133237133114465,0.42680864137929175,250
pasture,-0.17230045945025008,-0.21021734793437774,0.23853405843997716,200
permanent crop land,-0.1415337903016086,-0.07834757437215334,0.4498904902672638,250
residential area,-0.012715959875842595,-0.03029801290128087,0.4862073135741771,300
river,-0.013466353073238657,0.11045447703812372,0.43744594489853394,250
sea or lake,0.4304786854891326,0.5594975215438481,0.4581104888084245,300
