target_name,top1_accuracy,top5_inclusion,recoverability_gap
forest,0.94,1.0,0.06000000000000005
industrial area,0.856,0.992,0.136
herbaceous vegetation,0.8333333333333334,0.98,0.1466666666666666
residential area,0.73,0.9666666666666667,0.2366666666666667
sea or lake,0.75,0.9966666666666667,0.2466666666666667
annual crop land,0.6866666666666666,0.9966666666666667,0.31000000000000005
highway or road,0.556,0.88,0.32399999999999995
river,0.552,0.988,0.43599999999999994
pasture,0.365,0.82,0.45499999999999996
permanent crop land,0.332,0.788,0.456
