target_name,top1_accuracy,top5_inclusion,recoverability_gap
herbaceous vegetation,0.9033333333333333,1.0,0.09666666666666668
annual crop land,0.8066666666666666,0.9866666666666667,0.18000000000000005
forest,0.75,1.0,0.25
industrial area,0.676,0.996,0.31999999999999995
pasture,0.58,0.925,0.3450000000000001
highway or road,0.528,0.936,0.40800000000000003
residential area,0.41,0.9433333333333334,0.5333333333333334
permanent crop land,0.184,0.768,0.5840000000000001
river,0.204,0.832,0.628
sea or lake,0.06,0.9933333333333333,0.9333333333333333
