,annual crop land,forest,herbaceous vegetation,highway or road,industrial area,pasture,permanent crop land,residential area,river,sea or lake
annual crop land,1.0000000000000002,0.8265754413511421,0.9364372705841633,0.9109780947395311,0.8424257741268141,0.9460475604105119,0.9619373013961516,0.8343864407280637,0.9377291269620252,0.8203455836542541
forest,0.8265754413511421,1.0,0.8771615715853369,0.7317444636170661,0.6972424340811597,0.8423727306124102,0.7681913092519648,0.7117443108191461,0.8705152900003504,0.9498424126706579
herbaceous vegetation,0.9364372705841633,0.8771615715853369,1.0,0.8862230005409083,0.8351787716218744,0.9439633205352314,0.9295675278436738,0.8573420007935415,0.9346382214599712,0.8319682436475729
highway or road,0.9109780947395311,0.7317444636170661,0.8862230005409083,1.0000000000000004,0.9104988512234286,0.9314576125986395,0.9422031866001908,0.872836611124031,0.9334502829725149,0.7028721899335533
industrial area,0.8424257741268141,0.6972424340811597,0.8351787716218744,0.9104988512234286,0.9999999999999999,0.8617554611658215,0.9019020897854025,0.9453619417551921,0.8661599498294102,0.6796203631438713
pasture,0.9460475604105119,0.8423727306124102,0.9439633205352314,0.9314576125986395,0.8617554611658215,0.9999999999999997,0.9479702298639267,0.8515126674839626,0.9570691758795862,0.8020968220210194
permanent crop land,0.9619373013961516,0.7681913092519648,0.9295675278436738,0.9422031866001908,0.9019020897854025,0.9479702298639267,0.9999999999999996,0.8886167628132404,0.9252906520051605,0.742315027845733
residential area,0.8343864407280637,0.7117443108191461,0.8573420007935415,0.872836611124031,0.9453619417551921,0.8515126674839626,0.8886167628132404,1.0000000000000002,0.8491481555196939,0.6817664825653131
river,0.9377291269620252,0.8705152900003504,0.9346382214599712,0.9334502829725149,0.8661599498294102,0.9570691758795862,0.9252906520051605,0.8491481555196939,1.0000000000000002,0.8341380700788334
sea or lake,0.8203455836542541,0.9498424126706579,0.8319682436475729,0.7028721899335533,0.6796203631438713,0.8020968220210194,0.742315027845733,0.6817664825653131,0.8341380700788334,1.0000000000000002
