rank,eigenvalue
1,0.014071911636147079
2,0.011674447118127228
3,0.008368941195508612
4,0.007450527428695029
5,0.00632480885238967
6,0.005747219599719563
7,0.004434516582559454
8,0.003851693739470118
9,0.0033362795603332353
10,0.0031815812287928433
11,0.0030023664665662308
12,0.0028098722924118596
13,0.002617182618609411
14,0.0025316783710243773
15,0.0021261407937576975
16,0.0019968491795323774
17,0.001899940362064021
18,0.0017513105002031778
19,0.001709066342864975
20,0.0016801148200007176
21,0.0015456469116384942
22,0.0015159226429532794
23,0.0014329797745400539
24,0.0013281472315517056
25,0.001201862300252953
26,0.0011664886989689257
27,0.0010871890319349472
28,0.0010593912097709138
29,0.0009780057095404304
30,0.0009206502141942423
31,0.0008866778220143301
32,0.000883420398182845
33,0.0008401446187224163
34,0.000791807300923629
35,0.0007829944372546923
36,0.0007331666649400751
37,0.0006941816185829687
38,0.0006761287191227173
39,0.000631695625550735
40,0.0005960719571240495
41,0.0005935625320004435
42,0.0005691806637040913
43,0.0005537201544366712
44,0.0005377448733931363
45,0.0005130129636981181
46,0.0004984068682079795
47,0.00046781363472556635
48,0.00046196162046771073
49,0.0004504517174603467
50,0.000442244158553958
51,0.00041086412976363147
52,0.0003993736480946134
53,0.0003939312317405314
54,0.00037742357335328027
55,0.00036808013741375676
56,0.00035878717868059095
57,0.0003481353252027972
58,0.00034278866019333946
59,0.00033480549147793764
60,0.0003216412548696294
61,0.0003064942849669072
62,0.0003021203301669985
63,0.0002872573157760463
64,0.000279676137221153
65,0.00026674535792624
66,0.0002652124653847727
67,0.00025493581199568686
68,0.0002542097514486206
69,0.00023908228556402246
70,0.00023266114159487303
71,0.00023071355157044346
72,0.00022226655433367596
73,0.00021755368856086823
74,0.00021181105396165912
75,0.00020396735126681915
76,0.00019752936069179593
77,0.00019214364664842462
78,0.00019009674918317424
79,0.00018283629514089707
80,0.00017812366631690777
81,0.00017481848337628025
82,0.0001686335011912317
83,0.00016677025826772858
84,0.00016204248876088814
85,0.0001528648817691228
86,0.0001486341060937073
87,0.00014633491005618186
88,0.00013993807066253934
89,0.00013797647014273762
90,0.0001323695000389836
91,0.0001294501863203316
92,0.0001265654734328414
93,0.00012302052199074688
94,0.00011845441914516323
95,0.00011625226464232234
96,0.00011556514304514202
97,0.0001052800935719634
98,0.00010343080406446996
99,0.00010086832640299999
100,9.882248652881563e-05
101,9.676876384127069e-05
102,9.273800061282524e-05
103,9.229356649328017e-05
104,9.149266418905672e-05
105,8.749460778889586e-05
106,8.426444498725815e-05
107,8.221607944686369e-05
108,8.035864127438813e-05
109,7.669129383271974e-05
110,7.446876484231614e-05
111,7.243909911647517e-05
112,7.198665532534832e-05
113,6.915880491085032e-05
114,6.850495568519889e-05
115,6.429115904447985e-05
116,6.376993986830174e-05
117,6.175522820220534e-05
118,6.057367187020119e-05
119,5.78766829105133e-05
120,5.5780278452138684e-05
121,5.5269659281307385e-05
122,5.434324423770314e-05
123,5.349860598792135e-05
124,5.2555125833326697e-05
125,5.0864054034164675e-05
126,5.0089491349695334e-05
127,4.646652246006639e-05
128,4.4697400151437406e-05
129,4.400751403187046e-05
130,4.1264669476935616e-05
131,3.9490355542982916e-05
132,3.893708694055472e-05
133,3.67658526894947e-05
134,3.605056396070179e-05
135,3.424744793684739e-05
136,3.281957915495933e-05
137,3.0282671138083295e-05
138,2.807252643149028e-05
139,2.7321326854930794e-05
140,2.6912382258875255e-05
141,2.3724449032974833e-05
142,2.2682400916621798e-05
143,2.1789003156394628e-05
144,1.969900078682955e-05
145,1.8439533411900503e-05
146,1.7354582487429296e-05
147,1.567457862671059e-05
148,1.156201781059148e-05
149,1.0426290976739551e-05
150,5.22098441930451e-06
151,2.6868591171245485e-34
152,2.069189158020635e-34
153,1.93434214438102e-34
154,1.552699627021902e-34
155,1.3062331960446458e-34
156,1.2131267804760236e-34
157,1.0672356957585922e-34
158,8.010184327633836e-35
159,5.799488523764281e-35
160,2.932318505520572e-35
