target_name,mean,median,std,count
annual crop land,34.82451078696107,38.838361708463935,33.27143429628472,300
forest,56.99048447637782,64.60061573870234,27.45209341727378,300
herbaceous vegetation,36.62493285014394,43.22272598939526,29.51484782849061,300
highway or road,27.815541447470277,31.801673761597158,30.060771085715928,250
industrial area,84.67733311996216,84.04242405057585,32.85247504620744,250
pasture,28.080906895074378,29.795604558014702,17.35599508399737,200
permanent crop land,21.05724495292843,24.669271905417872,27.098360719111596,250
residential area,84.57311589228154,91.53183368629925,41.56989136598949,300
river,29.691127995433284,31.971209758499754,25.81026790816106,250
sea or lake,83.05030062647393,102.93400672735788,46.22676615191189,300
