target_name,top1_accuracy,top5_inclusion,recoverability_gap
industrial area,0.988,1.0,0.01200000000000001
residential area,0.9533333333333334,0.99,0.036666666666666625
forest,0.9433333333333334,1.0,0.05666666666666664
sea or lake,0.93,0.9933333333333333,0.06333333333333324
pasture,0.92,1.0,0.07999999999999996
herbaceous vegetation,0.9066666666666666,0.9933333333333333,0.08666666666666667
river,0.892,1.0,0.10799999999999998
annual crop land,0.8433333333333334,1.0,0.15666666666666662
highway or road,0.816,0.992,0.17600000000000005
permanent crop land,0.816,0.996,0.18000000000000005
