run_dir,run_mtime,dataset,method,Model,Shots,Seed,Top-1 Acc,Top-5 Acc,Macro F1,Weighted F1,Runtime
outputs\eurosat\convnext_tiny_full_finetune_shot0_seed42_20260417_220623,1776499417.964495,eurosat,convnext_tiny_full_finetune,ConvNeXt-Tiny Full Fine-Tune,0,42,0.9859259259259259,0.9996296296296296,0.9856327544504012,0.9859245811889273,5436.55
outputs\eurosat\clip_gda_shot1_seed42_20260417_174049,1776499417.6873362,eurosat,clip_gda,CLIP ViT-B/16 + GDA,1,42,0.48703703703703705,0.9044444444444445,0.49461076756299815,0.49881188935078946,460.97
outputs\eurosat\clip_tip_adapter_shot1_seed42_20260417_174838,1776499417.8323672,eurosat,clip_tip_adapter,CLIP ViT-B/16 + Tip-Adapter,1,42,0.4540740740740741,0.9055555555555556,0.4455631712201634,0.4496194962953804,0.61
outputs\eurosat\convnext_tiny_shot1_seed42_20260417_174846,1776499417.978542,eurosat,convnext_tiny,ConvNeXt-Tiny,1,42,0.5159259259259259,0.9425925925925925,0.47472066568882954,0.4770517470268684,162.75
outputs\eurosat\zeroshot_clip_shot1_seed42_20260417_171827,1776499418.0476966,eurosat,zeroshot_clip,Zero-shot CLIP ViT-B/16,1,42,0.37407407407407406,0.8777777777777778,0.35889784607362313,0.3605882383300967,52.54
outputs\eurosat\clip_gda_shot2_seed42_20260417_175143,1776499417.7640045,eurosat,clip_gda,CLIP ViT-B/16 + GDA,2,42,0.6062962962962963,0.9344444444444444,0.582840224726331,0.5887083282384964,0.73
outputs\eurosat\clip_tip_adapter_shot2_seed42_20260417_175152,1776499417.8671765,eurosat,clip_tip_adapter,CLIP ViT-B/16 + Tip-Adapter,2,42,0.5703703703703704,0.9137037037037037,0.5284516701851741,0.5357119858605104,0.59
outputs\eurosat\convnext_tiny_shot2_seed42_20260417_175201,1776499417.9992921,eurosat,convnext_tiny,ConvNeXt-Tiny,2,42,0.6522222222222223,0.9674074074074074,0.62943811159512,0.6426107963904342,1.36
outputs\eurosat\zeroshot_clip_shot2_seed42_20260417_175136,1776499418.0824337,eurosat,zeroshot_clip,Zero-shot CLIP ViT-B/16,2,42,0.37407407407407406,0.8777777777777778,0.35889784607362313,0.3605882383300967,0.27
outputs\eurosat\clip_gda_shot4_seed42_20260417_175218,1776499417.7977023,eurosat,clip_gda,CLIP ViT-B/16 + GDA,4,42,0.674074074074074,0.9477777777777778,0.6672253422806891,0.6752570244171587,0.85
outputs\eurosat\clip_tip_adapter_shot4_seed42_20260417_175228,1776499417.88097,eurosat,clip_tip_adapter,CLIP ViT-B/16 + Tip-Adapter,4,42,0.6007407407407407,0.9411111111111111,0.5910417016244137,0.5968774692783955,0.87
outputs\eurosat\convnext_tiny_shot4_seed42_20260417_175236,1776499418.022625,eurosat,convnext_tiny,ConvNeXt-Tiny,4,42,0.7196296296296296,0.9651851851851851,0.698437122313795,0.7152567240549783,1.44
outputs\eurosat\zeroshot_clip_shot4_seed42_20260417_175211,1776499418.0956428,eurosat,zeroshot_clip,Zero-shot CLIP ViT-B/16,4,42,0.37407407407407406,0.8777777777777778,0.35889784607362313,0.3605882383300967,0.27
outputs\eurosat\clip_gda_shot8_seed42_20260417_175253,1776499417.8198946,eurosat,clip_gda,CLIP ViT-B/16 + GDA,8,42,0.8011111111111111,0.9840740740740741,0.7918115089626605,0.7995637557802099,0.77
outputs\eurosat\clip_tip_adapter_shot8_seed42_20260417_175301,1776499417.8948457,eurosat,clip_tip_adapter,CLIP ViT-B/16 + Tip-Adapter,8,42,0.6774074074074075,0.9474074074074074,0.6611936064146007,0.6705126870747378,0.75
outputs\eurosat\convnext_tiny_shot8_seed42_20260417_175308,1776499418.0340705,eurosat,convnext_tiny,ConvNeXt-Tiny,8,42,0.8403703703703703,0.9959259259259259,0.8296412849627263,0.836624980487842,1.34
outputs\eurosat\zeroshot_clip_shot8_seed42_20260417_175246,1776499418.1108737,eurosat,zeroshot_clip,Zero-shot CLIP ViT-B/16,8,42,0.37407407407407406,0.8777777777777778,0.35889784607362313,0.3605882383300967,0.32
outputs\eurosat\clip_gda_shot16_seed42_20260417_191934,1776499417.7092335,eurosat,clip_gda,CLIP ViT-B/16 + GDA,16,42,0.8825925925925926,0.9951851851851852,0.8793750383057877,0.8835133465206925,18.96
outputs\eurosat\clip_gda_shot16_seed42_20260417_192614,1776499417.728229,eurosat,clip_gda,CLIP ViT-B/16-QuickGELU + GDA,16,42,0.894074074074074,0.9922222222222222,0.8932610614771864,0.8945697051184539,2111.9
outputs\eurosat\clip_gda_shot16_seed42_20260418_221654,1776525440.8536205,eurosat,clip_gda,RemoteCLIP ViT-B/32 + GDA,16,42,0.9018518518518519,0.9962962962962963,0.899195461626743,0.902434058689111,
outputs\eurosat\clip_gda_proto_shot16_seed42_20260417_191218,1776499417.6691532,eurosat,clip_gda_proto,CLIP ViT-B/16 + GDA+Proto,16,42,0.8751851851851852,0.9937037037037038,0.8721200295844733,0.8756727652206372,2.92
outputs\eurosat\clip_tip_adapter_shot16_seed42_20260417_175329,1776499417.847387,eurosat,clip_tip_adapter,CLIP ViT-B/16 + Tip-Adapter,16,42,0.6918518518518518,0.9411111111111111,0.677397004705955,0.6856377777329187,0.72
outputs\eurosat\convnext_tiny_shot16_seed42_20260417_175336,1776499417.9894533,eurosat,convnext_tiny,ConvNeXt-Tiny,16,42,0.8381481481481482,0.9940740740740741,0.8317386436947315,0.8368996040556591,1.29
outputs\eurosat\zeroshot_clip_shot16_seed42_20260417_201526,1776499418.06963,eurosat,zeroshot_clip,Zero-shot RemoteCLIP ViT-B/32,16,42,0.37592592592592594,0.9403703703703704,0.342691704682654,0.3514380915456116,0.29
outputs\eurosat\zeroshot_clip_shot16_seed42_20260418_172345,1776507871.3882966,eurosat,zeroshot_clip,Zero-shot CLIP ViT-B/16,16,42,0.37407407407407406,0.8777777777777778,0.35889784607362313,0.3605882383300967,46.04
