target_name,mean,median,std,count
annual crop land,-0.006057230879863104,-0.001956552267074585,0.011943675471686642,300
forest,-0.02370192622145017,-0.02429986745119095,0.009321906573333259,300
herbaceous vegetation,-0.0021131505568822225,-0.0025719404220581055,0.008696572047340336,300
highway or road,-0.010158622443675994,-0.0102003812789917,0.019512083305432578,250
industrial area,-0.017660629749298096,-0.017595745623111725,0.015062163973424147,250
pasture,-0.02927214778959751,-0.02918185293674469,0.012178099575026616,200
permanent crop land,-0.012249011218547821,-0.0063132643699646,0.014133414905493595,250
residential area,-0.006543777336676915,-0.0034674257040023804,0.017364834935677444,300
river,0.020324541211128234,0.019006237387657166,0.021591753627965435,250
sea or lake,0.012845152417818705,0.013497672975063324,0.00728451509534553,300
