target_name,top1_accuracy,top5_inclusion,recoverability_gap
sea or lake,0.9566666666666667,1.0,0.043333333333333335
river,0.832,0.988,0.15600000000000003
residential area,0.4066666666666667,0.92,0.5133333333333334
highway or road,0.308,0.84,0.532
herbaceous vegetation,0.41333333333333333,1.0,0.5866666666666667
annual crop land,0.4033333333333333,1.0,0.5966666666666667
permanent crop land,0.164,0.892,0.728
pasture,0.005,0.78,0.775
industrial area,0.116,0.908,0.792
forest,0.016666666666666666,1.0,0.9833333333333333
